Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor,Temperatura,Fluxo de calor
º C,W/g,º C,W/g,º C,W/g,º C,W/g
20 ºC/min,20 ºC/min,15 ºC/min,15 ºC/min,10 ºC/min,10 ºC/min,5 ºC/min,5 ºC/min
"84,20012","-1,074856","83,15128","-0,6980968","82,08908","-0,5046034","81,22187","-0,2868222"
"84,26709","-1,074955","83,201","-0,6981592","82,12212","-0,5046062","81,23892","-0,2867029"
"84,33363","-1,075055","83,25147","-0,698221","82,15563","-0,5046082","81,2551","-0,2865666"
"84,40136","-1,075155","83,30211","-0,6982822","82,18898","-0,5046094","81,2728","-0,2864309"
"84,46793","-1,075254","83,35137","-0,698343","82,22218","-0,5046091","81,28881","-0,286288"
"84,53318","-1,075354","83,40166","-0,698403","82,25608","-0,5046078","81,31438","-0,2860396"
"84,60116","-1,075453","83,45136","-0,6984629","82,28884","-0,504605","81,33942","-0,2857577"
"84,66739","-1,075554","83,50128","-0,6985222","82,3222","-0,5046017","81,35612","-0,285577"
"84,73375","-1,075656","83,55132","-0,6985811","82,35526","-0,5045974","81,3729","-0,2853934"
"84,79978","-1,075761","83,60162","-0,6986394","82,38889","-0,504591","81,3894","-0,2851881"
"84,86781","-1,075884","83,6515","-0,6986975","82,42222","-0,5045832","81,40542","-0,28496"
"84,93416","-1,076048","83,70163","-0,6987551","82,45536","-0,5045738","81,4314","-0,2846358"
"85,00134","-1,07627","83,75145","-0,6988125","82,48864","-0,5045627","81,45678","-0,2843222"
"85,06788","-1,076541","83,80187","-0,6988701","82,52228","-0,5045502","81,47278","-0,2841208"
"85,13481","-1,076844","83,85161","-0,6989281","82,55663","-0,5045359","81,49075","-0,2839246"
"85,20084","-1,077156","83,90156","-0,6989858","82,58892","-0,50452","81,50587","-0,2837529"
"85,26804","-1,077461","83,95197","-0,6990434","82,62228","-0,504503","81,52276","-0,2836044"
"85,33466","-1,077748","84,00168","-0,6991015","82,6552","-0,5044846","81,54782","-0,283396"
"85,40132","-1,078018","84,05209","-0,6991602","82,69031","-0,5044638","81,57345","-0,2831964"
"85,46874","-1,07828","84,10197","-0,6992194","82,72305","-0,5044398","81,58966","-0,2830777"
"85,53564","-1,078536","84,15311","-0,699279","82,75597","-0,5044132","81,60649","-0,2829712"
"85,60224","-1,078764","84,2022","-0,6993384","82,78938","-0,5043838","81,62341","-0,2828658"
"85,66816","-1,078959","84,25216","-0,6993978","82,82397","-0,5043502","81,6404","-0,282758"
"85,73493","-1,079126","84,30168","-0,6994568","82,85675","-0,504313","81,6655","-0,2825856"
"85,80201","-1,079261","84,35272","-0,6995157","82,88965","-0,5042716","81,68945","-0,2823996"
"85,86855","-1,07937","84,40324","-0,6995742","82,92328","-0,5042266","81,70782","-0,2822792"
"85,93506","-1,079469","84,45259","-0,6996326","82,95719","-0,5041742","81,7245","-0,2821518"
"86,0016","-1,079566","84,50274","-0,6996909","82,9897","-0,5041147","81,7407","-0,2820102"
"86,06818","-1,079664","84,55266","-0,6997489","83,02376","-0,5040484","81,75832","-0,2818663"
"86,13601","-1,07976","84,60189","-0,6998066","83,05665","-0,5039848","81,78253","-0,2816383"
"86,20214","-1,079856","84,65226","-0,6998644","83,09028","-0,5039178","81,80816","-0,281395"
"86,26826","-1,079952","84,70186","-0,6999221","83,12262","-0,5038548","81,82488","-0,2812166"
"86,33556","-1,080047","84,75209","-0,6999795","83,1566","-0,5037954","81,84169","-0,2810553"
"86,40207","-1,080142","84,80272","-0,7000366","83,18946","-0,5037383","81,8585","-0,2808964"
"86,46975","-1,080235","84,85245","-0,7000932","83,22332","-0,5036825","81,87475","-0,2807278"
"86,5359","-1,080328","84,90226","-0,7001495","83,25718","-0,5036283","81,90042","-0,2804634"
"86,60301","-1,080419","84,95306","-0,7002056","83,29035","-0,5035758","81,9254","-0,2801778"
"86,6693","-1,08051","85,00306","-0,7002611","83,32336","-0,5035242","81,94155","-0,2799922"
"86,7359","-1,0806","85,05301","-0,7003164","83,35719","-0,5034724","81,95929","-0,2798194"
"86,80238","-1,08069","85,10278","-0,7003712","83,3901","-0,5034203","81,97572","-0,2796133"
"86,86906","-1,080779","85,15182","-0,7004257","83,42339","-0,5033669","81,99282","-0,2793756"
"86,93659","-1,080868","85,2036","-0,7004795","83,45695","-0,5033119","82,0089","-0,279131"
"87,00329","-1,080956","85,2532","-0,7005331","83,49058","-0,5032562","82,03449","-0,2787362"
"87,06934","-1,081047","85,30295","-0,700586","83,52384","-0,5032","82,05952","-0,278317"
"87,13641","-1,081138","85,35391","-0,7006387","83,55724","-0,5031422","82,07658","-0,2780358"
"87,2034","-1,08123","85,40203","-0,7006907","83,59074","-0,5030824","82,09297","-0,2777615"
"87,26962","-1,081324","85,45343","-0,7007422","83,62449","-0,5030222","82,1095","-0,2774925"
"87,33691","-1,081418","85,50351","-0,7007934","83,65758","-0,5029614","82,12684","-0,277209"
"87,40311","-1,081514","85,55309","-0,7008442","83,69101","-0,5029","82,1516","-0,27676"
"87,46976","-1,08161","85,60296","-0,7008945","83,72382","-0,502837","82,1772","-0,2763188"
"87,53711","-1,081707","85,65265","-0,7009446","83,75739","-0,50277","82,19344","-0,276002"
"87,6034","-1,081804","85,70348","-0,7009942","83,79151","-0,5026894","82,20997","-0,2756832"
"87,66985","-1,081901","85,75331","-0,7010436","83,82452","-0,5026053","82,22704","-0,2753491"
"87,73934","-1,081999","85,80265","-0,7010926","83,8582","-0,5025172","82,24348","-0,2749925"
"87,80382","-1,082097","85,85308","-0,7011413","83,89101","-0,5024183","82,26881","-0,2744539"
"87,87014","-1,082196","85,90384","-0,7011897","83,92469","-0,5022972","82,29442","-0,2738928"
"87,93738","-1,082296","85,95321","-0,7012378","83,95803","-0,5021748","82,31038","-0,2734866"
"88,00324","-1,082397","86,00352","-0,7012856","83,99132","-0,5020553","82,32758","-0,2730434"
"88,07106","-1,082499","86,05366","-0,701333","84,02509","-0,5019309","82,34399","-0,2726718"
"88,13684","-1,082602","86,10334","-0,7013803","84,05825","-0,50178","82,36116","-0,2723698"
"88,20376","-1,082705","86,15421","-0,7014272","84,09211","-0,5015814","82,38594","-0,2719145"
"88,27045","-1,082807","86,20301","-0,7014739","84,12608","-0,5013711","82,41137","-0,2714678"
"88,33692","-1,082908","86,25356","-0,7015201","84,15875","-0,5011475","82,42834","-0,2711847"
"88,40358","-1,083009","86,30406","-0,7015662","84,19209","-0,5009428","82,44447","-0,2709231"
"88,47078","-1,08311","86,35414","-0,7016119","84,22594","-0,5007387","82,46148","-0,2706928"
"88,53757","-1,083209","86,40308","-0,7016572","84,25809","-0,5005162","82,4787","-0,2704404"
"88,60431","-1,083308","86,45379","-0,7017025","84,29188","-0,5002742","82,50274","-0,27003"
"88,6709","-1,083405","86,5039","-0,7017474","84,32575","-0,5000387","82,52816","-0,2696336"
"88,73825","-1,083502","86,55386","-0,7017918","84,35939","-0,4997982","82,54469","-0,2693697"
"88,80457","-1,083598","86,60426","-0,7018359","84,39209","-0,4995361","82,56166","-0,2691216"
"88,87195","-1,083692","86,65394","-0,7018798","84,42648","-0,4992665","82,57859","-0,268856"
"88,93756","-1,083786","86,7038","-0,7019231","84,45918","-0,4989404","82,59562","-0,2685563"
"89,00461","-1,083879","86,75476","-0,7019662","84,49278","-0,4986118","82,62012","-0,2680807"
"89,0715","-1,083971","86,80436","-0,7020092","84,52658","-0,4983165","82,64511","-0,2676308"
"89,13764","-1,084062","86,85425","-0,7020515","84,56059","-0,4980176","82,66266","-0,2673136"
"89,20446","-1,084152","86,90438","-0,7020935","84,59364","-0,4977004","82,67847","-0,2669737"
"89,27222","-1,084241","86,95501","-0,702135","84,62651","-0,4973676","82,69555","-0,2666487"
"89,33931","-1,084329","87,00509","-0,7021762","84,65976","-0,497012","82,71312","-0,2663369"
